Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,46411,0,9,15.83630852555806,1.870578998932615,190.13107499631587,112.43524164529961,32.23668820564129,0.0,9,13,16,18,37,65,80,87,110,130,190
OPTIONS,/api/auth/verify,46415,0,6,10.125786504412659,0.7316559931496158,134.6331189997727,0.0,32.23946657182221,0.0,6,8,11,12,19,41,70,78,99,120,130
OPTIONS,/api/exercise-production,46409,0,5,9.348868523762063,0.7223670036182739,119.86208899907069,0.0,32.235299022550834,0.0,5,8,10,12,18,33,63,73,92,110,120
POST,/api/exercise-production,46379,0,100.0,120.51256254985748,37.013910005043726,517.0597739997902,1141.0,32.21446127619396,0.0,100,130,160,170,200,240,290,300,400,480,520
OPTIONS,/api/user/login,46423,0,7,14.105325027267261,0.6899310028529726,174.37753500416875,0.0,32.24502330418405,0.0,7,10,14,17,46,63,73,79,100,140,170
POST,/api/user/login,46418,0,10,16.656798965289113,2.106945998093579,186.57065399747808,112.43532681287432,32.2415503464579,0.0,10,14,17,20,38,66,82,91,110,130,190
DELETE,/api/user/logout,46374,0,7,13.827623513988117,1.3604839987237938,175.05282400088618,14.0,32.210988318467805,0.0,7,10,13,16,40,63,74,81,99,130,180
OPTIONS,/api/user/logout,46376,0,6,12.05398329055963,0.7527039997512475,181.5733929979615,0.0,32.212377501558265,0.0,6,9,12,14,26,63,75,81,98,120,180
,Aggregated,371205,0,8,26.55227061444001,0.6899310028529726,517.0597739997902,172.42475182176963,257.8358545468763,0.0,8,13,20,38,78,120,190,210,310,400,520
