Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744889620,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744889621,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744889622,1,,Aggregated,0.000000,0.000000,10,17,47,47,120,120,120,120,120,120,120,8,0,8,26.660206749966164,2.9481060009857174,119.07189399971685,171.625
1744889623,3,,Aggregated,0.000000,0.000000,8,9,12,13,73,85,120,120,120,120,120,32,0,6,18.026478625188247,1.6960390003077919,119.07189399971685,171.625
1744889624,5,,Aggregated,4.000000,0.000000,6,8,9,10,73,83,87,120,120,120,120,72,0,6,16.293291986206288,1.6960390003077919,119.07189399971685,171.625
1744889625,6,,Aggregated,8.000000,0.000000,5,8,9,10,73,87,93,94,120,120,120,120,0,5,15.782829441741342,1.6557060007471591,119.07189399971685,171.64166666666668
1744889626,8,,Aggregated,13.250000,0.000000,5,8,9,10,72,87,92,94,120,120,120,181,0,5,15.276009204473205,1.6557060007471591,119.07189399971685,168.13259668508286
1744889627,10,,Aggregated,19.000000,0.000000,5,8,9,10,73,90,110,130,160,160,160,253,0,5,16.50046519368872,1.2146730005042627,155.3193169984297,169.17391304347825
1744889628,11,,Aggregated,24.000000,0.000000,5,8,9,11,74,94,120,130,160,160,160,333,0,5,17.576685997002162,1.2146730005042627,159.93577600056597,169.8108108108108
1744889629,13,,Aggregated,29.857143,0.000000,5,8,9,12,75,100,120,130,160,160,160,426,0,5,17.783431753511177,1.1397250000300119,159.93577600056597,168.75586854460093
1744889630,15,,Aggregated,35.625000,0.000000,6,8,11,16,78,100,130,160,220,220,220,522,0,6,19.889204438702155,1.1397250000300119,215.86309699887352,167.33333333333334
