Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",6
OPTIONS,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",17
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",4
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),1
DELETE,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),17
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
