Method,Name,Error,Occurrences
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",2
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",19
OPTIONS,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",4
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",6
DELETE,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",5
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),7
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
