Timestamp,CPU Utilization (%),Num Cpus
2025-01-22T01:39:03.876490,2.44,1
2025-01-22T01:39:08.441498,11.88,1
2025-01-22T01:39:13.006495,15.78,1
2025-01-22T01:39:17.557921,2.99,1
2025-01-22T01:39:22.116313,2.81,1
2025-01-22T01:39:26.687058,7.43,1
2025-01-22T01:39:31.262216,22.52,1
2025-01-22T01:39:35.814252,5.58,1
2025-01-22T01:39:40.375884,1.69,1
2025-01-22T01:39:44.930156,28.71,1
2025-01-22T01:39:49.491473,36.99,1
2025-01-22T01:39:54.054362,14.74,1
2025-01-22T01:39:58.619711,31.69,1
2025-01-22T01:40:03.181870,15.4,1
2025-01-22T01:40:07.759819,9.86,1
2025-01-22T01:40:12.319119,5.13,1
2025-01-22T01:40:16.886001,5.77,1
2025-01-22T01:40:21.448560,7.83,1
2025-01-22T01:40:26.013322,9.83,1
2025-01-22T01:40:30.573302,7.87,1
2025-01-22T01:40:35.132120,10.68,1
2025-01-22T01:40:39.686476,3.9,1
2025-01-22T01:40:44.244756,3.23,1
2025-01-22T01:40:48.815214,1.27,1
2025-01-22T01:40:53.367631,8.28,1
2025-01-22T01:40:57.934116,6.54,1
2025-01-22T01:41:02.500459,19.09,1
2025-01-22T01:41:07.071678,2.01,1
2025-01-22T01:41:11.634525,19.15,1
2025-01-22T01:41:16.203995,12.93,1
2025-01-22T01:41:20.767376,13.97,1
2025-01-22T01:41:25.305157,14.71,1
2025-01-22T01:41:29.854421,20.38,1
2025-01-22T01:41:34.393235,17.18,1
2025-01-22T01:41:38.957224,6.63,1
2025-01-22T01:41:43.508780,3.44,1
2025-01-22T01:41:48.073884,6.3,1
2025-01-22T01:41:52.632075,6.54,1
2025-01-22T01:41:57.192281,4.64,1
2025-01-22T01:42:01.768980,10.45,1
2025-01-22T01:42:06.324507,3.8,1
2025-01-22T01:42:10.890061,3.81,1
2025-01-22T01:42:15.449958,34.06,1
2025-01-22T01:42:20.004847,22.17,1
2025-01-22T01:42:24.557682,12.7,1
2025-01-22T01:42:29.118465,25.14,1
2025-01-22T01:42:33.665075,4.49,1
2025-01-22T01:42:38.241548,15.79,1
2025-01-22T01:42:42.790549,2.73,1
2025-01-22T01:42:47.363231,3.85,1
2025-01-22T01:42:51.924633,2.92,1
2025-01-22T01:42:56.497408,33.26,1
2025-01-22T01:43:01.057587,10.71,1
2025-01-22T01:43:05.625853,13.85,1
2025-01-22T01:43:10.181868,9.83,1
2025-01-22T01:43:14.749220,20.89,1
2025-01-22T01:43:19.304733,10.51,1
2025-01-22T01:43:23.848342,10.23,1
2025-01-22T01:43:28.399177,8.68,1
2025-01-22T01:43:32.950839,34.46,1
2025-01-22T01:43:37.510461,2.24,1
2025-01-22T01:43:42.062115,17.62,1
2025-01-22T01:43:46.636100,7.31,1
2025-01-22T01:43:51.190290,13.08,1
2025-01-22T01:43:55.760676,6.74,1
2025-01-22T01:44:00.328270,4.08,1
2025-01-22T01:44:04.879469,7.94,1
2025-01-22T01:44:09.440744,15.58,1
2025-01-22T01:44:13.994349,9.89,1
2025-01-22T01:44:18.545975,10.11,1
2025-01-22T01:44:23.107252,15.77,1
2025-01-22T01:44:27.674455,1.74,1
2025-01-22T01:44:32.227729,8.18,1
2025-01-22T01:44:36.778634,20.13,1
2025-01-22T01:44:41.332880,5.27,1
2025-01-22T01:44:45.896023,2.4,1
2025-01-22T01:44:50.464477,4.31,1
2025-01-22T01:44:55.022438,42.72,1
2025-01-22T01:44:59.580939,4.99,1
2025-01-22T01:45:04.146645,4.79,1
2025-01-22T01:45:08.704528,3.12,1
2025-01-22T01:45:13.265984,3.08,1
2025-01-22T01:45:17.820606,12.75,1
2025-01-22T01:45:22.396709,17.3,1
2025-01-22T01:45:26.954338,2.01,1
2025-01-22T01:45:31.524438,5.97,1
2025-01-22T01:45:36.095422,4.66,1
2025-01-22T01:45:40.657892,21.62,1
2025-01-22T01:45:45.219728,7.02,1
2025-01-22T01:45:49.792702,8.26,1
2025-01-22T01:45:54.349766,17.01,1
2025-01-22T01:45:58.904161,2.9,1
2025-01-22T01:46:03.455151,3.59,1
2025-01-22T01:46:08.010476,6.11,1
2025-01-22T01:46:12.554750,6.95,1
2025-01-22T01:46:17.124869,3.38,1
2025-01-22T01:46:21.689314,17.26,1
2025-01-22T01:46:26.255830,4.8,1
2025-01-22T01:46:30.810022,10.56,1
2025-01-22T01:46:35.361845,12.62,1
2025-01-22T01:46:39.913445,5.7,1
2025-01-22T01:46:44.464202,37.63,1
2025-01-22T01:46:49.018647,3.91,1
2025-01-22T01:46:53.566080,26.68,1
2025-01-22T01:46:58.124492,17.05,1
2025-01-22T01:47:02.686659,3.17,1
2025-01-22T01:47:07.232099,4.51,1
2025-01-22T01:47:11.782947,3.82,1
2025-01-22T01:47:16.340305,3.92,1
2025-01-22T01:47:20.909401,12.84,1
2025-01-22T01:47:25.492986,2.5,1
2025-01-22T01:47:30.056374,8.5,1
2025-01-22T01:47:34.602271,9.36,1
2025-01-22T01:47:39.177024,9.46,1
2025-01-22T01:47:43.736286,6.33,1
2025-01-22T01:47:48.285673,2.84,1
2025-01-22T01:47:52.853162,14.78,1
2025-01-22T01:47:57.415134,8.8,1
2025-01-22T01:48:01.976543,50.29,1
2025-01-22T01:48:06.554784,9.89,1
2025-01-22T01:48:11.126884,13.02,1
2025-01-22T01:48:15.693124,12.0,1
2025-01-22T01:48:20.252199,3.3,1
2025-01-22T01:48:24.807262,9.73,1
2025-01-22T01:48:29.366004,14.1,1
2025-01-22T01:48:33.931025,1.87,1
2025-01-22T01:48:38.495667,13.68,1
2025-01-22T01:48:43.052588,4.48,1
2025-01-22T01:48:47.635856,1.89,1
2025-01-22T01:48:52.207772,39.81,1
2025-01-22T01:48:56.767890,6.87,1
