Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47477,2,11,16.767513751610835,1.9053670039284043,382.0135669957381,112.47732586304947,32.9886130051299,0.0013896671232440931,11,16,21,24,35,47,69,83,120,190,380
OPTIONS,/api/auth/verify,47480,1,8,12.031541070708291,0.738965994969476,173.3791119986563,0.0,32.990697505814765,0.0006948335616220466,8,12,16,18,26,35,52,69,100,160,170
OPTIONS,/api/exercise-production,47470,4,8,11.911104670572692,0.7324469988816418,177.42657799681183,0.0,32.98374917019855,0.0027793342464881863,8,12,16,18,26,36,52,69,100,130,180
POST,/api/exercise-production,47444,45,75,89.86539074638155,8.770370994170662,1032.2949819965288,1139.9177767473232,32.96568349759637,0.03126751027299209,75,88,100,110,140,180,220,280,800,1000,1000
OPTIONS,/api/user/login,47491,10,8,12.797049866639275,0.751244995626621,186.85581899626413,0.0,32.99834067499261,0.006948335616220465,8,13,16,19,28,39,60,72,100,150,190
POST,/api/user/login,47490,6,12,17.355149389690308,0.6913539982633665,297.62656099774176,112.46790903348074,32.99764584143099,0.004169001369732279,12,17,21,25,35,48,68,82,120,290,300
DELETE,/api/user/logout,47434,8,8,13.802483251952653,0.778388995968271,173.17759200523142,13.997638824471897,32.95873516198015,0.0055586684929763725,8,13,17,20,33,47,65,75,110,150,170
OPTIONS,/api/user/logout,47441,7,7,11.501205701164206,0.7692020008107647,169.39432399522047,0.0,32.96359899691151,0.004863834931354325,7,11,14,16,25,39,63,75,99,130,170
,Aggregated,379727,83,11,23.249858418497343,0.6913539982633665,1032.2949819965288,172.30117953161087,263.84706385405485,0.05767118561462986,11,17,25,32,66,85,120,150,290,880,1000
