cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.0,0.0,,4,4,0.0,0
1.0,0.0,0.0,,4,4,0.0,0
1.0,0.0,0.0,,4,4,0.0,0
1.0,0.0,0.0,4.0,4,4,0.0,0
1.0,0.06517968105154238,0.336,6.0,4,4,0.0,0
1.0,0.061471637117175966,0.5763333333333333,7.0,4,4,0.0,0
1.0,0.059273801668915556,0.8521166666666665,9.0,4,4,0.0,0
1.0,0.05776571765913382,1.1959266666666666,11.0,4,4,0.0,0
1.0,0.05649670012658943,1.5743999999999998,12.0,4,4,0.0,0
1.0,0.05541643067401339,2.0212238095238093,14.0,4,4,0.0,0
1.0,0.054608721985678205,2.5374666666666665,16.0,4,4,0.0,0
1.0,0.053926893130908635,3.088,17.0,4,4,0.0,0
1.0,0.05322840992880906,3.6730666666666663,19.0,4,4,0.0,0
1.0,0.05294677173122748,4.361363636363636,21.0,4,4,0.0,0
1.0,0.05270395882893412,5.051444444444444,22.0,4,4,0.0,0
1.0,0.05255651303244191,5.84371282051282,24.0,4,4,0.0,0
1.0,0.05234311736592242,6.6705523809523815,26.0,4,4,0.0,0
1.0,0.0522188312449187,7.532913333333334,27.0,4,4,0.0,0
1.0,0.05216636747386198,8.499260416666667,29.0,4,4,0.0,0
1.0,0.05206534035199999,9.498713725490196,31.0,4,4,0.0,0
1.0,0.051995896325688275,10.534400000000002,32.0,4,4,0.0,0
1.0,0.05193403121759895,11.671291228070176,34.0,4,4,0.0,0
1.0,0.05182158682042949,12.775026666666669,36.0,4,4,0.0,0
1.0,0.05173736367325834,13.981580952380954,37.0,4,4,0.08017458923027102,0
1.0,0.051877799018516406,15.26780303030303,39.0,1,4,0.19195658576500385,0
1.0,0.051965659939652895,16.554202898550724,41.0,3,5,0.24614958481372876,0
1.0,0.05265686498975786,17.91537361111111,42.0,4,6,0.3335188952023546,0
1.0,0.05318240040540828,19.34668266666667,44.0,5,6,0.39489450590375014,0
1.0,0.053770521290028746,20.88506153846154,47.0,5,8,0.45586121120389833,0
1.0,0.05466464139902088,23.228916666666667,49.0,6,8,0.5550425396428977,0
1.0,0.05505797240223719,24.812436781609197,51.0,7,11,0.6656010036555888,0
1.0,0.05550210273122561,26.53026206896552,52.0,8,12,0.7808390084083846,0
1.0,0.055865381135868315,28.254105747126438,54.0,9,13,0.8516145364737551,0
1.0,0.055976886171213575,30.093705747126435,56.0,9,13,0.9856890648027028,0
1.0,0.05620326350297584,31.75862068965517,57.0,10,14,1.0590228054805748,0
1.0,0.05657408922132182,33.37931034482759,59.0,10,14,1.1606084760892135,0
1.0,0.056897734703435704,34.89655172413793,61.0,11,14,1.2168687536608795,0
1.0,0.05752572187861897,36.41379310344828,62.0,12,14,1.1919587726719576,0
1.0,0.058210529068238474,37.93103448275862,64.0,11,11,1.3605174606656603,0
1.0,0.0585620549090306,39.48275862068965,66.0,13,12,1.4870597707152078,0
1.0,0.059036643783442186,41.06896551724138,67.0,14,12,1.6212009172913027,0
1.0,0.05989810014209132,42.58620689655172,69.0,14,14,1.8166795601501384,0
1.0,0.0601175918411143,44.172413793103445,71.0,16,14,1.8578920391431346,0
1.0,0.06045813478910057,45.724137931034484,72.0,16,16,2.0724800214877344,0
1.0,0.06073092729942569,47.310344827586206,74.0,16,16,2.203402108766283,0
1.0,0.0612070866413955,50.310344827586206,77.0,16,16,2.291377019869326,0
1.0,0.06155700918277205,51.93103448275862,79.0,16,16,2.4543071300889965,0
1.0,0.061773836098604984,53.51724137931034,81.0,16,16,2.5368484938219353,0
1.0,0.06187492732616852,54.86206896551724,82.0,16,16,2.667474801069261,0
1.0,0.062156859781290826,56.44827586206897,84.0,16,16,2.7864193011204375,0
1.0,0.06286886750390346,58.06896551724138,86.0,16,16,2.79991943784481,0
1.0,0.0635643665242908,59.58620689655172,87.0,16,16,2.9129267081797368,0
1.0,0.06444158816987221,61.172413793103445,89.0,16,16,2.965037326797245,0
1.0,0.06523274771820885,62.55172413793103,91.0,16,16,3.122699261560043,0
1.0,0.06577733602003145,64.03448275862068,92.0,16,16,3.167217727778227,0
1.0,0.06631539616345052,65.3103448275862,94.0,16,16,3.2211838780903363,0
1.0,0.06705452494843021,66.93103448275862,96.0,16,16,3.2585201743277477,0
