Method,Name,Error,Occurrences
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",11
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",8
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),2
