Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744901092,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744901093,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744901094,1,,Aggregated,0.000000,0.000000,11,17,56,56,110,110,110,110,110,110,110,8,0,7,26.344365000113612,2.5184639998769853,109.10483400220983,171.625
1744901095,3,,Aggregated,0.000000,0.000000,8,11,17,43,68,92,110,110,110,110,110,32,0,7,20.484478843627585,2.1325499983504415,109.10483400220983,171.625
1744901096,5,,Aggregated,0.500000,0.000000,6,9,12,17,71,92,110,110,110,110,110,72,0,6,18.483659513751466,1.7095039984269533,112.24715900243609,171.625
1744901097,6,,Aggregated,3.000000,0.000000,6,8,11,14,72,92,92,110,110,110,110,117,0,6,16.985597803189496,1.7095039984269533,112.24715900243609,166.17094017094018
1744901098,8,,Aggregated,8.250000,0.000000,6,8,11,12,73,89,92,110,110,110,110,176,0,6,16.731375505576747,1.4859759976388887,112.24715900243609,171.67045454545453
1744901099,10,,Aggregated,15.400000,0.000000,6,8,11,12,73,85,93,98,110,110,110,253,0,6,16.21751643872241,1.2180090016045142,112.24715900243609,169.17391304347825
1744901100,11,,Aggregated,20.833333,0.000000,5,8,10,12,71,82,92,95,110,110,110,336,0,5,15.699465854140726,1.2180090016045142,112.24715900243609,171.73214285714286
1744901101,13,,Aggregated,26.285714,0.000000,5,8,9,12,72,83,96,110,170,170,170,434,0,5,15.990712981480847,1.2180090016045142,167.25546199813834,168.81336405529953
1744901102,15,,Aggregated,32.250000,0.000000,5,8,9,11,71,82,96,110,170,170,170,541,0,5,15.823319009102816,1.2180090016045142,167.25546199813834,170.60813308687617
1744901103,16,,Aggregated,37.888889,0.000000,5,8,9,11,69,82,95,110,170,170,170,658,0,5,15.40920594209425,1.2180090016045142,167.25546199813834,169.8647416413374
1744901104,18,,Aggregated,44.200000,0.000000,5,8,9,11,68,82,96,110,170,170,170,786,0,5,15.583963914643725,1.2180090016045142,167.25546199813834,170.20737913486005
1744901105,20,,Aggregated,54.700000,0.000000,5,8,9,11,68,82,95,110,170,170,170,923,0,5,15.435016465774957,1.2180090016045142,167.25546199813834,170.2795232936078
1744901106,21,,Aggregated,66.200000,0.000000,5,8,9,11,68,82,95,120,160,170,170,1077,0,5,15.526361669369535,1.2180090016045142,167.25546199813834,171.27390900649954
1744901107,23,,Aggregated,78.500000,0.000000,5,8,9,11,67,81,93,110,160,170,170,1253,0,5,15.359733248131253,0.960339999437565,167.25546199813834,171.37270550678372
1744901108,25,,Aggregated,89.800000,0.000000,5,8,9,10,67,82,95,120,160,170,170,1445,0,5,15.32486340753689,0.960339999437565,167.25546199813834,171.45328719723184
1744901109,26,,Aggregated,100.700000,0.000000,5,8,9,10,67,81,93,110,160,170,170,1636,0,5,15.085301818410972,0.960339999437565,167.25546199813834,170.3435207823961
1744901110,28,,Aggregated,113.600000,0.000000,5,8,9,10,66,80,92,110,160,170,170,1824,0,5,14.986823373862391,0.960339999437565,167.25546199813834,170.77083333333334
1744901111,30,,Aggregated,126.900000,0.000000,5,8,9,10,65,79,92,110,150,170,170,2038,0,5,14.904771728117492,0.8136329997796565,167.25546199813834,171.52796859666338
1744901112,31,,Aggregated,138.800000,0.000000,5,8,9,10,65,79,92,110,150,170,170,2280,0,5,14.927857283730287,0.8136329997796565,167.25546199813834,171.93464912280703
1744901113,33,,Aggregated,149.100000,0.000000,5,8,9,11,65,80,95,120,150,170,170,2524,0,5,15.078868884678403,0.8136329997796565,167.25546199813834,170.56022187004754
1744901114,35,,Aggregated,160.300000,0.000000,6,8,9,11,65,79,93,120,150,170,170,2758,0,5,15.044149254498139,0.8136329997796565,167.25546199813834,171.31290790427846
1744901115,36,,Aggregated,173.600000,0.000000,6,8,9,11,65,79,93,120,150,170,170,3011,0,6,15.051497557931643,0.8136329997796565,167.25546199813834,171.47691796745266
1744901116,38,,Aggregated,186.500000,0.000000,6,8,9,11,63,78,93,120,150,170,170,3292,4,6,15.048375408544903,0.6001770016155206,167.25546199813834,171.75546780072904
1744901117,40,,Aggregated,197.100000,0.000000,6,8,9,11,63,78,93,120,150,170,170,3599,5,6,15.066268969150665,0.6001770016155206,167.25546199813834,171.1133648235621
1744901118,41,,Aggregated,208.300000,0.100000,6,8,9,11,62,78,95,120,150,170,170,3887,7,6,15.134109399533553,0.6001770016155206,167.25546199813834,171.42114741445846
