Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",2
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",13
OPTIONS,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",2
POST,/api/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=1)')",2
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",6
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),14
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
