Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,50224,4,5,9.440390433914239,2.04936700174585,130.2191249851603,112.4622292131252,34.89499727919877,0.002779149193947019,5,7,9,11,16,39,73,80,95,120,130
OPTIONS,/api/auth/verify,50226,0,3,6.450945644991061,0.905548018636182,114.5436119986698,0.0,34.89638685379575,0.0,3,5,7,8,12,16,60,72,88,100,110
OPTIONS,/api/exercise-production,50222,0,3,6.191263935441061,0.910447008209303,111.4454840135295,0.0,34.8936077046018,0.0,3,5,7,8,12,16,56,67,84,98,110
POST,/api/exercise-production,50209,8,43,64.28390818037849,11.750789999496192,402.73523799260147,1140.8181999243163,34.88457546972147,0.005558298387894038,43,49,67,87,120,180,200,230,310,380,400
OPTIONS,/api/user/login,50232,11,3,8.40918063305127,0.8414739859290421,113.5119330137968,0.0,34.900555577586665,0.007642660283354302,3,6,7,9,15,52,69,75,88,99,110
POST,/api/user/login,50230,2,5,9.730109046566422,1.5261999797075987,126.37979499413632,112.46647421859447,34.89916600298969,0.0013895745969735094,5,8,10,11,17,30,72,81,99,110,130
DELETE,/api/user/logout,50207,2,4,8.651462590377822,1.6764290048740804,121.26932799583301,13.999442308841397,34.8831858951245,0.0013895745969735094,4,7,9,11,16,26,70,77,90,110,120
OPTIONS,/api/user/logout,50207,1,4,7.454056388332005,0.9215690079145133,116.89664999721572,0.0,34.8831858951245,0.0006947872984867547,4,6,8,9,13,19,70,79,89,98,120
,Aggregated,401757,28,5,15.074960482692513,0.8414739859290421,402.73523799260147,172.44181184148627,279.1356606781431,0.01945404435762913,5,8,12,15,42,67,100,160,250,310,400
