Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744930597,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744930598,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744930599,1,,Aggregated,0.000000,0.000000,11,18,70,70,73,73,73,73,73,73,73,8,0,7,23.77189449907746,1.7554139994899742,72.78356299502775,171.625
1744930600,3,,Aggregated,0.000000,0.000000,7,11,18,35,72,84,87,87,87,87,87,32,0,7,19.682960624550105,1.7554139994899742,86.66022100078408,171.625
1744930601,5,,Aggregated,4.000000,0.000000,7,9,16,18,73,84,87,87,87,87,87,72,0,6,17.897805722188625,1.7554139994899742,86.79196100274567,171.625
1744930602,6,,Aggregated,8.000000,0.000000,6,9,11,16,72,82,84,87,87,87,87,120,0,6,16.482516799987934,1.7554139994899742,86.79196100274567,171.64166666666668
1744930603,8,,Aggregated,14.000000,0.000000,6,8,10,12,72,82,87,87,88,88,88,177,0,6,15.97427821478584,1.7554139994899742,87.93785500165541,170.70056497175142
1744930604,10,,Aggregated,20.800000,0.000000,6,8,9,11,72,84,87,98,130,130,130,253,0,6,15.803266731295606,1.1918979944312014,130.38356700417353,169.17391304347825
1744930605,11,,Aggregated,25.833333,0.000000,6,8,9,11,72,84,93,130,150,150,150,336,0,6,16.11009689293583,1.1918979944312014,148.19423700100742,171.73214285714286
1744930606,13,,Aggregated,31.571429,0.000000,5,8,9,11,70,83,91,98,150,150,150,434,0,5,15.561649689042735,1.1918979944312014,148.19423700100742,168.81336405529953
1744930607,15,,Aggregated,37.625000,0.000000,5,8,9,10,71,83,93,110,150,150,150,531,0,5,15.707885226093495,1.1918979944312014,148.19423700100742,171.0225988700565
1744930608,16,,Aggregated,43.222222,0.000000,5,8,9,10,70,82,91,130,150,150,150,653,0,5,15.540515629382652,1.1918979944312014,148.19423700100742,170.83154670750383
1744930609,18,,Aggregated,49.300000,0.000000,5,8,9,10,70,82,95,130,160,160,160,789,0,5,15.505864844037854,1.1918979944312014,159.27569300401956,171.02408111533586
1744930610,20,,Aggregated,61.300000,0.000000,6,8,9,10,69,81,95,130,170,170,170,935,0,6,15.55563542341476,1.1918979944312014,170.6822630003444,169.8
1744930611,21,,Aggregated,72.500000,0.000000,5,8,9,10,69,80,95,130,160,170,170,1088,0,5,15.568791066945831,1.1582360020838678,170.6822630003444,171.86580882352942
1744930612,23,,Aggregated,85.000000,0.000000,5,8,9,10,68,80,95,130,160,170,170,1258,0,5,15.436853801933443,1.1582360020838678,170.6822630003444,170.85532591414943
1744930613,25,,Aggregated,96.000000,0.000000,5,8,9,10,68,81,98,130,160,170,170,1433,0,5,15.60433629299821,1.1582360020838678,170.6822630003444,171.1221214235869
1744930614,26,,Aggregated,106.600000,0.000000,5,8,9,10,67,80,98,130,170,180,180,1617,0,5,15.423285256552248,0.9861990038189106,175.60290099936537,169.92764378478665
1744930615,28,,Aggregated,119.700000,0.000000,5,8,9,10,67,80,96,130,170,180,180,1810,0,5,15.427652849029982,0.9861990038189106,175.60290099936537,171.2082872928177
1744930616,30,,Aggregated,133.300000,0.000000,5,8,9,11,65,80,100,130,180,210,210,2032,0,5,15.648423470374263,0.8827890051179565,211.20185999461683,171.41141732283464
1744930617,31,,Aggregated,144.900000,0.000000,6,8,9,11,66,80,110,130,180,210,210,2269,0,6,15.840958224271844,0.8827890051179565,211.20185999461683,171.65403261348612
1744930618,33,,Aggregated,155.700000,0.000000,6,8,9,11,65,80,110,130,180,210,210,2508,0,6,15.704451861173704,0.8827890051179565,211.20185999461683,171.79106858054226
1744930619,35,,Aggregated,167.100000,0.000000,6,8,9,11,65,80,110,130,180,210,210,2745,0,6,15.80285231797998,0.8827890051179565,211.20185999461683,171.54754098360655
1744930620,36,,Aggregated,178.300000,0.000000,6,8,9,11,65,80,110,130,170,210,210,3018,0,6,15.718540452218239,0.8827890051179565,211.20185999461683,171.53346587143804
1744930621,38,,Aggregated,190.000000,0.000000,6,8,9,11,65,80,100,130,170,210,210,3303,0,6,15.611209252145125,0.8827890051179565,211.20185999461683,171.72449288525584
1744930622,40,,Aggregated,200.800000,0.000000,6,8,9,11,65,80,100,130,170,210,210,3579,0,6,15.592908506535078,0.8827890051179565,211.20185999461683,171.01173512154233
1744930623,41,,Aggregated,213.700000,0.000000,5,8,9,11,64,80,100,130,180,230,230,3865,0,5,15.548984647040177,0.8827890051179565,229.63689600146608,171.1477360931436
1744930624,43,,Aggregated,227.300000,0.000000,5,7,9,11,64,80,100,120,170,230,230,4174,0,5,15.394647568959128,0.8720450059627183,229.63689600146608,171.5586966938189
1744930625,45,,Aggregated,238.900000,0.000000,5,7,9,11,64,80,110,130,190,230,230,4497,0,5,15.691001592803072,0.8338789994013496,229.63689600146608,171.96820102290417
1744930626,46,,Aggregated,249.100000,0.000000,5,7,9,11,64,80,100,130,190,230,230,4835,0,5,15.488194542881422,0.8338789994013496,229.63689600146608,171.70961737331953
1744930627,48,,Aggregated,261.000000,0.000000,6,7,9,11,64,80,100,130,180,230,230,5174,0,6,15.582038896198343,0.7993220060598105,229.63689600146608,171.6534596057209
