cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.0,0.0,,1,1,0.0,0
1.0,0.0,0.0,0.0,1,1,0.0,0
1.0,0.09914826575507914,0.049300000000000004,1.0,1,1,0.0,0
1.0,0.07017953802463654,0.12565,3.0,1,1,0.0,0
1.0,0.06001656658882446,0.27580000000000005,5.0,1,1,0.0,0
1.0,0.056398373899475635,0.49605833333333327,6.0,1,1,0.0,0
1.0,0.05427244863339551,0.7481333333333333,8.0,1,1,0.0,0
1.0,0.053517075644329705,1.0707444444444443,10.0,1,1,0.0,0
1.0,0.052814445498643225,1.463047619047619,11.0,1,1,0.0,0
1.0,0.051701375041652495,1.8891166666666663,13.0,1,1,0.0,0
1.0,0.050834884408207326,2.384066666666667,15.0,1,1,0.0,0
1.0,0.05006207472464794,2.94872,16.0,1,1,0.0,0
1.0,0.05005632003657698,3.5463,18.0,1,1,0.0,0
1.0,0.05005918870630121,4.17755,20.0,1,1,0.0,0
1.0,0.0518552869679852,4.914923076923078,21.0,1,1,0.0,0
1.0,0.05192157999894707,5.614642857142858,23.0,1,1,0.0,0
1.0,0.052807219094056446,6.4190644444444445,25.0,1,1,0.0,0
1.0,0.052985245035015956,7.293258333333333,28.0,1,1,0.0,0
1.0,0.06322618504631562,8.585227777777778,30.0,1,1,0.0,0
1.0,0.07414336983942661,9.372140350877192,31.0,1,1,0.0,0
1.0,0.09096350229169459,10.227666666666666,32.0,1,1,0.0,0
1.0,0.10649070227325518,11.114244444444447,34.0,1,1,0.12342550119110635,0
1.0,0.12482478488072848,11.921218181818181,36.0,1,1,0.15445494769736842,0
1.0,0.14704315442268537,12.887794202898553,37.0,2,2,0.1549647,0
1.0,0.16165310248976156,13.786433333333335,39.0,2,2,0.22122488336544638,0
1.0,0.17869531624853283,14.957869333333331,41.0,2,2,0.25765626582675705,0
1.0,0.19091539171448837,16.030455128205126,42.0,2,2,0.2836120916666667,0
1.0,0.20048478990301272,17.19088148148148,44.0,2,2,0.3822289545997869,0
1.0,0.2084704912070317,18.369,46.0,3,3,0.43596757614365145,0
1.0,0.2177081813545979,19.623062068965517,47.0,4,4,0.4842881644417912,0
1.0,0.22315759664777476,20.930671264367817,49.0,4,4,0.5704911071392126,0
1.0,0.22816862258244824,22.336724137931036,51.0,4,4,0.6667057644715821,0
1.0,0.2300550112137668,23.75862068965517,52.0,5,5,0.6941966844096644,0
1.0,0.23229585838082462,24.93103448275862,54.0,5,5,0.7703930630750743,0
1.0,0.23037828628465049,27.79310344827586,57.0,5,5,0.842885212234172,0
1.0,0.2223250166158474,29.310344827586206,59.0,6,4,0.8871107342630244,0
1.0,0.2139287082458787,30.89655172413793,61.0,6,6,0.9694333091837272,0
1.0,0.2064778619787525,32.37931034482759,62.0,6,6,1.0551406508187486,0
1.0,0.20048627363597468,33.689655172413794,64.0,6,6,1.2079967622611332,0
