cores,rts,tr,users,replica,util,mem
1.0,0.0,0.0,,1,0.0,0
1.0,0.0,0.0,0.0,1,0.0,0
1.0,0.1016958571940663,0.03766666666666666,1.0,1,0.0,0
1.0,0.06720756950968537,0.14266666666666666,3.0,1,0.0,0
1.0,0.05923882688019693,0.3152,5.0,1,0.0,0
1.0,0.056780682393963874,0.520375,6.0,1,0.0,0
1.0,0.054490922948043,0.79304,8.0,1,0.0,0
1.0,0.05279383065960407,1.1331833333333334,10.0,1,0.0,0
1.0,0.051705473375898564,1.5075238095238093,11.0,1,0.0,0
1.0,0.05128465915384676,1.9156666666666666,13.0,1,0.0,0
1.0,0.05061986506272571,2.390111111111111,15.0,1,0.0,0
1.0,0.05008857584901317,2.9317399999999996,16.0,1,0.0,0
1.0,0.049600222904595835,3.4729454545454552,18.0,1,0.0,0
1.0,0.05089641209617676,4.150372222222223,20.0,1,0.0,0
1.0,0.0511546133260077,4.8609,21.0,1,0.0,0
1.0,0.05188317315135517,5.604107142857142,23.0,1,0.0,0
1.0,0.05685596059772664,6.41592,25.0,1,0.0,0
1.0,0.05707772787837882,7.226912500000001,26.0,1,0.0,0
1.0,0.05731406189308519,8.039876470588235,28.0,1,0.0,0
1.0,0.06836479480209627,8.951066666666668,30.0,1,0.0,0
1.0,0.0850179815966952,9.794564912280702,31.0,1,0.0,0
1.0,0.09495300674862,10.57056,33.0,1,0.0,0
1.0,0.11280919335939836,11.414671428571427,35.0,1,0.09421402875793931,0
1.0,0.1334553734477898,12.276187878787878,36.0,1,0.09360299999999999,0
1.0,0.15435150048580126,13.263400000000003,38.0,1,0.16873122690244888,0
1.0,0.1668964082854098,14.149620833333334,40.0,2,0.19928064715932228,0
1.0,0.18945713108613435,15.14140266666667,41.0,2,0.23392260718258873,0
1.0,0.20479561754129436,16.1602,43.0,3,0.2774386503519356,0
1.0,0.21746845945393914,17.24942222222222,45.0,3,0.3491486610719611,0
1.0,0.22839029342759257,18.473333333333333,46.0,3,0.4324090086150267,0
1.0,0.2315218207838333,19.507397190998322,48.0,4,0.4720771543722863,0
1.0,0.23805966859989872,20.851885057471264,50.0,4,0.5063492718765653,0
