cores,rts,tr,users,replica,util,mem
1.0,0.06653261713960779,52.203296324391424,79.0,12,2.3453498390413055,0
1.0,0.06692344678134751,53.82758620689655,81.0,12,2.559640523797541,0
1.0,0.06723828357963428,55.41379310344828,82.0,13,2.5449467689449916,0
1.0,0.06885149210383262,56.82758620689655,84.0,13,2.6724397044962576,0
1.0,0.07026526545144869,58.172413793103445,86.0,13,2.790317836332748,0
1.0,0.0709428980008973,59.689655172413794,87.0,14,2.8166006562763184,0
1.0,0.07330889333789616,62.55172413793103,91.0,14,2.902054850331225,0
1.0,0.07360552331871262,63.93103448275862,92.0,14,2.8669042521030272,0
1.0,0.07439499397945681,65.62068965517241,94.0,14,3.00745192436929,0
1.0,0.07505460929762078,67.20689655172414,96.0,14,3.0701698101380686,0
1.0,0.07548322065403794,68.6551724137931,97.0,14,3.051410618608644,0
1.0,0.07591392783506361,69.93103448275862,99.0,14,3.152100412655247,0
1.0,0.07689728826640992,71.3103448275862,100.0,15,3.141368387603657,0
1.0,0.07705324589963135,72.65517241379308,100.0,15,3.1641658430187096,0
1.0,0.07733623668235498,74.0,100.0,14,3.3093129106149246,0
1.0,0.0775121566760642,75.58620689655173,100.0,15,3.567002746319992,0
1.0,0.0785572572060782,77.06896551724138,100.0,16,3.4694176210216896,0
1.0,0.07902719070069283,78.13793103448276,100.0,15,3.6487223664109294,0
1.0,0.07914515049239858,79.06896551724138,100.0,15,3.711583088044639,0
1.0,0.07973377098357247,80.10344827586206,100.0,15,3.696027929483219,0
1.0,0.07982338388012471,81.3103448275862,100.0,15,3.7964151170020783,0
1.0,0.0797432156360494,82.3103448275862,100.0,15,3.796504832514968,0
1.0,0.0795399354502151,84.13793103448276,100.0,15,3.799507358466635,0
1.0,0.08021192626906806,84.9655172413793,100.0,15,3.789420887202372,0
1.0,0.0806119977713237,85.82758620689656,100.0,15,3.7850712789570835,0
1.0,0.08076744964438043,86.6896551724138,100.0,15,3.772821970827582,0
1.0,0.0810003778323019,87.51724137931035,100.0,14,3.7888135365348248,0
1.0,0.0810180763912312,88.21298020553141,100.0,14,3.8401892350299613,0
1.0,0.08120947696735688,88.6551724137931,100.0,14,3.9740434647869076,0
1.0,0.08138058383737548,89.13793103448276,100.0,15,3.981142756025644,0
1.0,0.08175987240067632,89.6551724137931,100.0,15,3.988158827661083,0
1.0,0.08245679079747659,90.10344827586206,100.0,15,3.9181897461901234,0
1.0,0.08303129763191551,90.41379310344827,100.0,14,3.954809972516436,0
1.0,0.08326424325881863,90.6896551724138,100.0,14,4.000484537643605,0
1.0,0.08366319654339992,91.17241379310344,100.0,15,3.96838356552964,0
1.0,0.08379535564781442,91.55172413793103,100.0,14,3.981381558468263,0
1.0,0.08379086127374993,91.44827586206897,100.0,14,3.9417702771456407,0
1.0,0.08437097662514599,91.82758620689656,100.0,14,3.9513051451816827,0
1.0,0.08455736288885941,92.03448275862068,100.0,14,3.942485815505848,0
1.0,0.08478450014669109,92.03448275862068,100.0,14,3.9261063784752053,0
1.0,0.0852740845184674,92.3103448275862,100.0,14,3.9087748924639305,0
1.0,0.08555501183513432,92.27586206896551,100.0,14,3.9040821000573986,0
1.0,0.08580833247288289,92.03448275862068,100.0,14,3.8920825315637417,0
1.0,0.08651470509535758,91.9655172413793,100.0,14,3.878118627212317,0
1.0,0.08661486021668496,91.93103448275862,100.0,14,3.935150134703257,0
1.0,0.08636765137840381,92.03448275862068,100.0,14,3.8857486832660357,0
1.0,0.08664260126887627,91.86206896551724,100.0,14,3.9538953531835546,0
1.0,0.08707584885807669,91.6896551724138,100.0,14,3.9256756472389247,0
1.0,0.0875041629268749,91.75862068965517,100.0,14,3.953109540751285,0
1.0,0.08780991912992903,91.86206896551724,100.0,14,3.875751479271994,0
1.0,0.08787543246704389,91.75862068965517,100.0,14,3.875988553488108,0
1.0,0.0878470230318182,91.89655172413794,100.0,14,3.819472596965852,0
1.0,0.08816085297351418,91.6551724137931,100.0,14,3.8994095794807464,0
1.0,0.08818570036635599,91.86206896551724,100.0,14,3.868068974458793,0
1.0,0.08819472508272497,91.79310344827586,100.0,14,3.843773714616305,0
1.0,0.08852848361800067,91.75862068965517,100.0,14,3.878709015000883,0
1.0,0.08855713724059312,91.51724137931035,100.0,14,3.8420550343150635,0
1.0,0.08864943206118073,91.58620689655173,100.0,14,3.7461471886593203,0
1.0,0.08838313674877543,91.79310344827586,100.0,14,3.802820086706171,0
1.0,0.08811435083284079,92.0,100.0,14,3.8805192121960994,0
1.0,0.08803289423751083,91.86206896551724,100.0,14,3.901954311300125,0
1.0,0.08770346676999313,91.93103448275862,100.0,14,3.875320878067188,0
1.0,0.0872065553008332,91.75862068965517,100.0,14,3.8998748299741317,0
1.0,0.08706889639358663,91.9655172413793,100.0,14,3.8958487045848313,0
1.0,0.08675547809735706,91.93103448275862,100.0,14,3.8442881079784597,0
1.0,0.08659327767006385,92.10344827586206,100.0,14,3.8066708416371147,0
1.0,0.08651596539951814,92.06896551724138,100.0,14,3.814488566072405,0
1.0,0.08637991554091878,92.0,100.0,14,3.8430007049291457,0
1.0,0.08592302373778307,91.79310344827586,98.0,14,3.8342288325722143,0
1.0,0.08583975602456323,91.75862068965517,97.0,14,3.800705260022096,0
1.0,0.08577483236616133,91.62068965517241,96.0,13,3.8461716692079717,0
1.0,0.0851476705817464,91.51724137931035,95.0,13,3.799262340119976,0
1.0,0.08483974752009646,91.62068965517241,94.0,13,3.783258237844357,0
1.0,0.08478456441544817,91.6896551724138,93.0,13,3.738538954942882,0
1.0,0.08462505499912144,91.62068965517241,92.0,13,3.7531418803210634,0
1.0,0.08457458460651746,91.13793103448276,91.0,13,3.693581804338453,0
1.0,0.08458712490246885,90.75862068965517,90.0,12,3.8146140247765703,0
1.0,0.08436494726055664,90.55172413793103,89.0,13,3.7650647567683695,0
1.0,0.08427326770961271,90.17241379310344,88.0,12,3.804827123142675,0
1.0,0.08414894650830815,89.82758620689656,87.0,12,3.7522117980594696,0
1.0,0.08383116424572924,89.6551724137931,86.0,12,3.7309834929883907,0
1.0,0.08362473933067495,88.89655172413794,85.0,12,3.7480290235238063,0
1.0,0.0833642394542256,88.37931034482759,84.0,12,3.661293280346726,0
1.0,0.08337610323342455,87.9655172413793,83.0,12,3.628038303880734,0
1.0,0.08321539333160828,87.6896551724138,82.0,11,3.648749153765333,0
1.0,0.08304254523022403,87.24137931034483,81.0,11,3.6297643508726547,0
1.0,0.08265570808671673,86.55172413793103,80.0,11,3.6035063577867366,0
1.0,0.08196260132210417,85.89655172413794,78.0,11,3.5063235086736753,0
1.0,0.08105363121788435,84.6896551724138,77.0,11,3.5473411300654747,0
1.0,0.08056290086999586,84.06896551724138,76.0,11,3.5245491256164336,0
1.0,0.08031748026046466,83.44827586206897,75.0,11,3.4464986681293097,0
