Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,51970,2,4,6.110852795911719,2.054508000583155,93.03041199746076,112.43296132384067,36.07484241863171,0.0013882948785311415,4,6,7,8,11,15,20,26,66,82,93
OPTIONS,/api/auth/verify,51971,0,3,4.2561742627543175,0.9014979987114202,83.90364599836175,0.0,36.07553656607098,0.0,3,4,6,6,9,11,15,18,58,77,84
OPTIONS,/api/exercise-production,51970,2,3,4.262823870569851,0.9068270010175183,79.85135700073442,0.0,36.07484241863171,0.0013882948785311415,3,4,6,6,9,12,16,19,58,75,80
POST,/api/exercise-production,51953,9,41,45.12546135960199,15.698184997745557,301.2300509981287,1140.80234057706,36.0630419121642,0.006247326953390137,41,43,46,47,57,74,92,100,190,290,300
OPTIONS,/api/user/login,51976,11,3,4.6613488606656315,0.8486490005452652,101.46837600041181,0.0,36.07900730326731,0.007635621831921279,3,5,6,7,9,13,18,28,65,83,100
POST,/api/user/login,51976,3,5,6.514747164777654,0.6827530014561489,141.44214800035115,112.43085270124674,36.07900730326731,0.0020824423177967124,5,6,8,9,12,16,22,28,68,89,140
DELETE,/api/user/logout,51948,1,4,5.673573725047148,1.6844819983816706,106.92681200089282,13.9997304997305,36.05957117496787,0.0006941474392655707,4,5,7,8,12,15,21,27,65,81,110
OPTIONS,/api/user/logout,51950,1,3,4.558410806544417,0.9160279987554532,98.1533739977749,0.0,36.0609594698464,0.0006941474392655707,3,5,6,7,9,12,17,22,66,84,98
,Aggregated,415714,29,4,10.14435337580465,0.6827530014561489,301.2300509981287,172.43154909384816,288.5668085668475,0.020130275738701554,4,6,9,11,38,43,51,64,110,200,300
