cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.0,0.0,,4,4,0.0,0
1.0,0.0,0.0,0.0,4,4,0.0,0
1.0,0.10021489169932718,0.04383333333333333,1.0,4,4,0.0,0
1.0,0.08794881322387434,0.15686666666666665,3.0,4,4,0.0,0
1.0,0.07305478597532515,0.3387,5.0,4,4,0.0,0
1.0,0.06667278135124328,0.5160166666666667,6.0,4,4,0.0,0
1.0,0.06208250009470876,0.80036,8.0,4,4,0.0,0
1.0,0.05867330889281844,1.11755,10.0,4,4,0.0,0
1.0,0.05667189276358688,1.5048000000000001,11.0,4,4,0.0,0
1.0,0.05547953162600021,1.925325,13.0,4,4,0.0,0
1.0,0.05434361052237505,2.415511111111111,15.0,4,4,0.0,0
1.0,0.05349657648701034,2.97472,16.0,4,4,0.0,0
1.0,0.05287705009346715,3.5686666666666667,18.0,4,4,0.0,0
1.0,0.052675332332045646,4.2316666666666665,20.0,4,4,0.0,0
1.0,0.05219434077261411,4.963923076923077,21.0,4,4,0.0,0
1.0,0.05211303129295608,5.694685714285714,23.0,4,4,0.0,0
1.0,0.0519281864145417,6.529013333333333,25.0,4,4,0.0,0
1.0,0.051718612731688346,7.399506249999999,26.0,4,4,0.0,0
1.0,0.05161686111941195,8.303829411764704,28.0,4,4,0.0,0
1.0,0.051581068532676105,9.277944444444444,30.0,4,4,0.0,0
1.0,0.051501928978270634,10.320859649122808,31.0,4,4,0.0,0
1.0,0.05149060414754338,11.4266726627692,35.0,4,4,0.14324827172699464,0
1.0,0.05160379690443684,13.194795454545453,36.0,2,4,0.17905060045781734,0
1.0,0.05168136499559613,14.362173913043478,38.0,2,4,0.21087945703412564,0
1.0,0.051963556814523165,15.734949999999998,40.0,3,4,0.29341147707253595,0
1.0,0.05284754069561105,16.972713333333335,41.0,4,5,0.3777258379353717,0
1.0,0.05326933199471931,18.381999999999998,43.0,4,5,0.441924625378614,0
1.0,0.05362430718578221,19.89611111111111,45.0,4,5,0.522558994467792,0
1.0,0.05428675126517145,21.37806785714286,46.0,5,5,0.5199994184742416,0
1.0,0.05439987365892587,22.931206896551725,48.0,5,7,0.6586342488644453,0
1.0,0.0545380466078886,24.641395402298855,50.0,5,7,0.7286941148160044,0
1.0,0.05448864597398659,26.260771264367815,51.0,5,7,0.874990286331742,0
1.0,0.05465976164450275,28.079641379310345,53.0,6,7,0.9260382344199791,0
1.0,0.05492481240627912,29.724137931034484,55.0,6,9,0.9750687846628947,0
1.0,0.05523514749241476,31.241379310344826,56.0,6,9,1.0496389969762887,0
1.0,0.05598274599473323,32.758620689655174,58.0,6,6,1.1521151016300286,0
1.0,0.05633451247409985,34.241379310344826,60.0,7,6,1.2529083058800918,0
1.0,0.056883394637504754,35.89655172413793,61.0,7,6,1.3091883806214595,0
1.0,0.057353985026269386,37.41379310344828,65.0,7,7,1.4360171170119018,0
1.0,0.05843157396710487,40.55172413793103,66.0,9,7,1.5128618788729673,0
1.0,0.05881740136930174,42.10344827586207,68.0,9,9,1.6856928217975613,0
1.0,0.05898795228174954,43.6551724137931,70.0,9,9,1.8000953243219486,0
1.0,0.05931804809056602,45.172413793103445,71.0,10,10,1.9737388470034296,0
1.0,0.05949383158588,46.758620689655174,73.0,10,10,2.059552518839865,0
1.0,0.05954792059795858,48.310344827586206,75.0,10,10,2.1828829609154616,0
1.0,0.05960547531636728,49.93103448275862,76.0,10,10,2.342458335157935,0
1.0,0.06009555833396487,51.41379310344828,78.0,10,10,2.403589404422104,0
1.0,0.060582993575613836,52.96551724137931,80.0,11,11,2.4796262115475267,0
1.0,0.06094719979480156,54.47269465622521,81.0,11,11,2.517209046874425,0
1.0,0.06111603739888503,55.89655172413793,83.0,11,11,2.613171872844375,0
1.0,0.06177435530158244,57.275862068965516,85.0,11,11,2.69631793381782,0
1.0,0.06557764501033234,60.275862068965516,88.0,12,12,2.68129068553645,0
1.0,0.0667750162968687,61.96551724137931,90.0,12,12,2.790160305235221,0
1.0,0.06857205052393481,63.48275862068965,91.0,13,13,2.804409240489078,0
1.0,0.06890055102983211,64.6551724137931,93.0,13,13,2.9285119510286504,0
1.0,0.0698234831551459,66.20689655172414,95.0,13,13,3.1093152323627766,0
1.0,0.07085941246678704,67.62068965517241,96.0,12,13,3.150893601510486,0
1.0,0.07136451830909459,69.0,98.0,12,13,3.239497991468588,0
1.0,0.07178009592380565,70.48275862068965,99.0,13,13,3.2794093710379166,0
