Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47057,1,12,18.047414756810603,2.0276209979783744,315.7321430007869,112.47786726735661,32.67437620054596,0.0006943574006108752,12,17,21,25,39,57,78,90,130,300,320
OPTIONS,/api/auth/verify,47062,1,8,13.061349898586535,0.7384070013358723,196.3760939979693,0.0,32.67784798754901,0.0006943574006108752,8,13,16,19,28,41,63,77,110,150,200
OPTIONS,/api/exercise-production,47054,0,8,12.72624025367303,0.728777999029262,195.45927299986943,0.0,32.67229312834412,0.0,8,13,16,19,28,40,60,74,100,180,200
POST,/api/exercise-production,47025,45,75,93.37753316899818,23.72660699984408,1022.0339320003404,1139.9081339712918,32.65215676372641,0.031246083027489383,75,88,100,110,150,200,260,300,900,1000,1000
OPTIONS,/api/user/login,47070,14,9,14.073399341508503,0.746584999433253,277.26762400197913,0.0,32.68340284675389,0.009721003608552253,9,13,17,20,32,48,69,79,110,190,280
POST,/api/user/login,47066,2,12,18.926084474964405,1.60668099852046,293.39021800115006,112.4755024858709,32.680625417151454,0.0013887148012217505,12,17,22,26,41,58,80,94,160,220,290
DELETE,/api/user/logout,47018,5,8,14.695814682725025,0.9923889992933255,280.9322710018023,13.998511208473351,32.64729626192213,0.003471787003054376,8,13,18,22,35,52,70,80,110,190,280
OPTIONS,/api/user/logout,47021,7,7,12.547861167455842,0.7399160022032447,214.95131900155684,0.0,32.649379334123964,0.004860501804276126,7,12,15,18,28,46,71,80,110,150,210
,Aggregated,376373,75,11,24.677753837065378,0.728777999029262,1022.0339320003404,172.29983287855399,261.33737794011694,0.05207680504581564,11,18,27,36,68,87,130,170,310,1000,1000
