Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,909,0,2.052963000096497,2.9033369989016724,2.052963000096497,29.922950000582205,109.37513751375137,7.631252696197695,0.0,2,2,3,3,4,5,9,13,30,30,30
OPTIONS,/api/auth/verify,909,0,1,1.232848500547392,0.9076019996427931,11.244129999795405,0.0,7.631252696197695,0.0,1,1,1,1,2,2,4,5,11,11,11
OPTIONS,/api/exercise-production,909,0,1,1.2257896160758794,0.9085989995583077,20.256859999790322,0.0,7.631252696197695,0.0,1,1,1,1,2,2,4,6,20,20,20
POST,/api/exercise-production,908,0,36,38.88918101098663,32.58771600030741,220.3514319999158,1141.0,7.622857478710129,0.0,36,37,38,39,45,54,73,83,220,220,220
OPTIONS,/api/user/login,909,0,1,1.5299012893102324,0.8399630005442305,35.15709400016931,0.0,7.631252696197695,0.0,1,1,1,2,3,4,5,11,35,35,35
POST,/api/user/login,909,0,3,3.2234606589596484,2.208957999755512,39.16149799988489,109.37513751375137,7.631252696197695,0.0,3,3,3,3,4,5,11,19,39,39,39
DELETE,/api/user/logout,907,0,2,2.232190054037607,1.6743140004109591,64.85977700049261,14.0,7.614462261222562,0.0,2,2,2,2,3,3,5,5,65,65,65
OPTIONS,/api/user/logout,907,0,1,1.4319693814873047,0.9129150002991082,82.97142799983703,0.0,7.614462261222562,0.0,1,1,1,1,2,2,3,5,83,83,83
,Aggregated,7267,0,2,6.581754555798328,0.8399630005442305,220.3514319999158,171.67606990505024,61.00804548214373,0.0,2,2,3,3,34,36,41,49,98,220,220
