Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,3139,0,3,5.553470041741499,2.0123049998801434,306.15261100047064,110.51640649888499,26.328168101144243,0.0,3,4,4,5,6,19,47,61,96,310,310
OPTIONS,/api/auth/verify,3139,0,1,2.8410884377196264,0.8918619996620691,194.05058699976507,0.0,26.328168101144243,0.0,1,2,2,2,4,5,24,38,92,190,190
OPTIONS,/api/exercise-production,3139,0,1,2.792486635560661,0.8914179998100735,181.31254599938984,0.0,26.328168101144243,0.0,1,2,2,2,4,5,25,38,89,180,180
POST,/api/exercise-production,3137,0,54,72.72389694486037,32.15515299962135,929.8164259998885,1141.0,26.31139322500462,0.0,54,74,80,83,92,100,380,680,880,930,930
OPTIONS,/api/user/login,3139,0,1,5.525418202932838,0.8260189997599809,89.41039399996953,0.0,26.328168101144243,0.0,1,2,3,3,20,36,46,50,84,89,89
POST,/api/user/login,3139,0,3,6.699053421161593,2.15232900063711,388.6060790000556,110.51640649888499,26.328168101144243,0.0,3,4,4,5,8,37,49,56,110,390,390
DELETE,/api/user/logout,3136,0,2,5.176948822395679,1.645153999561444,181.87305599985848,14.0,26.303005786934804,0.0,2,3,3,4,5,26,49,61,91,180,180
OPTIONS,/api/user/logout,3137,0,1,3.9130946895097574,0.9080510008061538,103.4672279993174,0.0,26.31139322500462,0.0,1,2,2,3,4,6,52,85,96,100,100
,Aggregated,25105,0,2,13.150125684450792,0.8260189997599809,929.8164259998885,171.9594901414061,210.56663274266526,0.0,2,3,4,6,40,72,88,94,710,910,930
