Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,3205,0,12,27.438181711073305,2.1128179996594554,106.48439899978257,110.61092043681747,26.875844888082188,0.0,12,16,57,69,79,84,89,92,100,110,110
OPTIONS,/api/auth/verify,3205,0,7,18.78163987894538,0.9153450000667362,98.75488299985591,0.0,26.875844888082188,0.0,7,9,12,22,69,77,84,86,94,99,99
OPTIONS,/api/exercise-production,3205,0,7,16.42964490889971,0.9145519998128293,96.69504300018161,0.0,26.875844888082188,0.0,7,9,11,13,66,73,79,83,90,97,97
POST,/api/exercise-production,3198,0,190.0,195.6871653624158,37.17715800030419,1152.7916929999265,1141.0,26.81714569487889,0.0,190,200,200,210,270,280,470,590,1100,1200,1200
OPTIONS,/api/user/login,3205,0,7,24.612311499848918,0.8714360001249588,100.5609080002614,0.0,26.875844888082188,0.0,7,10,63,68,75,80,84,86,93,100,100
POST,/api/user/login,3205,0,11,23.53461157316746,2.3405550000461517,186.3566809997792,110.61092043681747,26.875844888082188,0.0,11,14,18,54,77,83,89,92,110,190,190
DELETE,/api/user/logout,3198,0,7,19.685736425271283,1.708105999568943,200.45634000052814,14.0,26.81714569487889,0.0,7,9,11,14,75,80,85,89,190,200,200
OPTIONS,/api/user/logout,3198,0,7,18.790204870849035,0.9539929997117724,107.69088699998974,0.0,26.81714569487889,0.0,7,9,11,13,76,82,87,94,110,110,110
,Aggregated,25619,0,9,43.091301130881334,0.8714360001249588,1152.7916929999265,171.8531558608845,214.83066152504762,0.0,9,15,69,76,130,200,220,270,630,1100,1200
