Method,Name,Error,Occurrences
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",15
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
POST,/api/user/login,RemoteDisconnected('Remote end closed connection without response'),2
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",4
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),7
DELETE,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
