cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.0,0.0,,1,1,0.0,0
1.0,0.0,0.0,0.0,1,1,0.0,0
1.0,0.09804063163596927,0.042666666666666665,1.0,1,1,0.0,0
1.0,0.06576168155887306,0.1542,3.0,1,1,0.0,0
1.0,0.058123562039082574,0.3347,5.0,1,1,0.0,0
1.0,0.056662626169319205,0.547375,6.0,1,1,0.0,0
1.0,0.05434788403065975,0.8301466666666666,8.0,1,1,0.0,0
1.0,0.053762985154881066,1.1103166666666668,10.0,1,1,0.0,0
1.0,0.053134523075665414,1.4962,11.0,1,1,0.0,0
1.0,0.05172904900899002,1.9515833333333332,13.0,1,1,0.0,0
1.0,0.05077168247974653,2.4405555555555556,15.0,1,1,0.0,0
1.0,0.05013434222560832,2.96324,16.0,1,1,0.0,0
1.0,0.0507922037092935,3.5910181818181814,18.0,1,1,0.0,0
1.0,0.05054337989014752,4.252813888888889,20.0,1,1,0.0,0
1.0,0.050868181803526584,4.948376923076923,21.0,1,1,0.0,0
1.0,0.050882116790214475,5.748200000000001,23.0,1,1,0.0,0
1.0,0.052014246167946934,6.547077777777778,25.0,1,1,0.0,0
1.0,0.05424642021986141,7.3447499999999994,26.0,1,1,0.0,0
1.0,0.055954358990533734,8.317400000000001,28.0,1,1,0.0,0
1.0,0.0619392301612947,9.149137037037036,30.0,1,1,0.0,0
1.0,0.07615594533044741,10.019824561403507,31.0,1,1,0.0,0
1.0,0.09060277935511592,10.92057,33.0,1,1,0.0,0
1.0,0.10653745410806865,11.762369841269841,36.0,1,1,0.0,0
1.0,0.14653845531577817,12.97906956521739,38.0,1,1,0.1321150826414116,0
1.0,0.1689940017619284,13.899618055555555,40.0,1,1,0.1679142265611487,0
1.0,0.18991428003347863,14.663389333333331,41.0,1,1,0.19621208682775104,0
1.0,0.21293139540029124,15.64069230769231,43.0,1,1,0.23198232600329594,0
1.0,0.23394429470872882,16.553974074074077,45.0,2,2,0.2682552356603351,0
1.0,0.2600551859082491,17.661211904761906,46.0,2,2,0.30357154070071796,0
1.0,0.2721649231823083,18.699663218390803,48.0,2,2,0.37555284238969155,0
1.0,0.2828699716617529,19.958422988505745,50.0,2,2,0.42530205894947537,0
1.0,0.2931368588182233,21.313471264367816,51.0,2,2,0.47369584239355345,0
1.0,0.2986507572846558,22.481489655172414,53.0,3,3,0.5254688642377658,0
1.0,0.30321551651462475,23.551724137931036,55.0,3,3,0.5650569170217381,0
1.0,0.31215137268704285,24.75862068965517,56.0,3,3,0.6039980031260669,0
1.0,0.3160160117563603,25.862068965517242,58.0,3,3,0.7021416225405004,0
1.0,0.31738953329136094,26.93103448275862,60.0,4,3,0.7869096553542878,0
1.0,0.318589200298278,29.17241379310345,63.0,4,3,0.7997805405789424,0
1.0,0.3263207565342523,30.310344827586206,65.0,4,4,0.8913468243716235,0
