Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47879,1,5,14.373584259741968,2.069031001155963,268.59417599916924,112.52455147350614,33.2431592399957,0.0006943160725995885,5,9,12,15,38,77,94,100,180,260,270
OPTIONS,/api/auth/verify,47881,0,4,10.29290406003945,0.9061480013770051,179.63207100183354,0.0,33.2445478721409,0.0,4,6,9,11,19,67,83,89,110,150,180
OPTIONS,/api/exercise-production,47878,2,4,9.5849213365239,0.910236998606706,182.3036140012846,0.0,33.2424649239231,0.001388632145199177,4,6,9,10,19,58,80,87,110,170,180
POST,/api/exercise-production,47859,14,45,90.3087784172089,22.302839999611024,687.2333999999682,1140.6662278777242,33.22927291854371,0.00972042501639424,45,70,99,120,210,300,400,460,570,660,690
OPTIONS,/api/user/login,47891,28,4,12.479110578630168,0.7653460015717428,1002.0242470018275,0.0,33.251491032866895,0.01944085003278848,4,7,10,13,46,72,84,90,110,260,1000
POST,/api/user/login,47890,9,6,15.14180588630962,0.9561350016156211,1001.6287969992845,112.50570056379202,33.2507967167943,0.006248844653396297,6,9,13,16,35,82,100,110,190,270,1000
DELETE,/api/user/logout,47854,1,5,12.021510680582717,1.6673120007908437,182.65043800056446,13.9997074434739,33.22580133818071,0.0006943160725995885,5,8,11,13,25,70,83,89,110,180,180
OPTIONS,/api/user/logout,47855,0,4,11.442213648565728,0.9218470004270785,188.43922700034454,0.0,33.22649565425331,0.0,4,7,10,12,23,75,86,91,120,180,190
,Aggregated,382987,55,6,21.952820187023413,0.7653460015717428,1002.0242470018275,172.42503792556928,265.9140296966986,0.03818738399297737,6,10,17,35,65,89,170,230,480,580,1000
