cores,rts,tr,users,replica,util,mem
1.0,0.0,0.0,,1,0.0,0
1.0,0.0,0.0,0.0,1,0.0,0
1.0,0.09859773900135721,0.0604,1.0,1,0.0,0
1.0,0.06924132263637697,0.14105,2.0,1,0.0,0
1.0,0.05966265971826411,0.29812222222222223,4.0,1,0.0,0
1.0,0.05607849860479764,0.48440000000000005,6.0,1,0.0,0
1.0,0.05417054703081127,0.7413799999999998,7.0,1,0.0,0
1.0,0.052604624836789675,1.0292999999999999,9.0,1,0.0,0
1.0,0.051834568220725595,1.3867952380952382,11.0,1,0.0,0
1.0,0.05095654892341825,1.7761999999999998,12.0,1,0.0,0
1.0,0.05002599328685875,2.234859259259259,14.0,1,0.0,0
1.0,0.049525265663052265,2.76184,16.0,1,0.0,0
1.0,0.05012334745022787,3.321478787878788,17.0,1,0.0,0
1.0,0.050055773701682744,3.9496111111111105,19.0,1,0.0,0
1.0,0.05003850071585899,4.573538461538462,21.0,1,0.0,0
1.0,0.05184978180764968,5.302271428571429,22.0,1,0.0,0
1.0,0.051990982265184976,6.098355555555556,24.0,1,0.0,0
1.0,0.052950543020322365,6.926966666666667,26.0,1,0.0,0
1.0,0.05323873260933415,7.827458823529412,27.0,1,0.0,0
1.0,0.057878159826954385,8.71982967694159,29.0,1,0.0,0
1.0,0.06760910692051644,9.544336842105265,32.0,1,0.0,0
1.0,0.09665078613711325,10.805142857142858,34.0,1,0.0,0
1.0,0.11473600642961515,11.610018181818182,36.0,1,0.1061998326432218,0
1.0,0.1368368885763346,12.497020289855072,37.0,1,0.14083997858763472,0
1.0,0.15618433096088088,13.416777051137863,39.0,2,0.16979027884932413,0
1.0,0.17457252716915145,14.452866666666665,41.0,2,0.1501017,0
1.0,0.1888362553421957,15.513130769230768,42.0,2,0.2437948521595681,0
1.0,0.19851489904511674,16.49699382716049,44.0,2,0.3234162062663843,0
1.0,0.21353337594112765,17.613261904761902,46.0,3,0.3281572895644674,0
1.0,0.22320056811087013,18.66394827586207,47.0,3,0.4131764025620559,0
1.0,0.23103565772227677,20.03679540229885,49.0,3,0.4126963295180516,0
