Method,Name,Error,Occurrences
OPTIONS,/api/user/logout,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/user/login,"ConnectionResetError(104, 'Connection reset by peer')",1
OPTIONS,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",16
GET,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/api/auth/verify,RemoteDisconnected('Remote end closed connection without response'),1
DELETE,/api/user/logout,RemoteDisconnected('Remote end closed connection without response'),2
OPTIONS,/api/auth/verify,"ConnectionResetError(104, 'Connection reset by peer')",2
POST,/api/user/login,"ConnectionRefusedError(111, 'Connection refused')",11
POST,/api/exercise-production,RemoteDisconnected('Remote end closed connection without response'),5
POST,/api/exercise-production,"ConnectionResetError(104, 'Connection reset by peer')",1
