Timestamp,CPU Utilization (%),Num Cpus
2025-02-10T18:53:08.688950,3.99
2025-02-10T18:53:13.213473,4.78
2025-02-10T18:53:17.739605,4.07
2025-02-10T18:53:22.265194,3.97
2025-02-10T18:53:26.791093,4.77
2025-02-10T18:53:31.317183,3.94
2025-02-10T18:53:35.845147,5.52
2025-02-10T18:53:40.372621,4.22
2025-02-10T18:53:44.898630,0.62
2025-02-10T18:53:49.422863,4.17
2025-02-10T18:53:53.948549,6.87
2025-02-10T18:53:58.474941,3.86
2025-02-10T18:54:03.001141,3.98
Timestamp,CPU Utilization (%),Num Cpus
Timestamp,CPU Utilization (%),Num Cpus
2025-02-11T09:02:17.178402,4.88
2025-02-11T09:02:21.703621,6.16
2025-02-11T09:02:26.230121,7.23
2025-02-11T09:02:30.758189,4.29
2025-02-11T09:02:35.286083,4.31
2025-02-11T09:02:39.813369,7.58
2025-02-11T09:02:44.339867,0.67
2025-02-11T09:02:48.866027,4.47
2025-02-11T09:02:53.392174,4.47
2025-02-11T09:02:57.918198,7.59
2025-02-11T09:03:02.443089,4.13
2025-02-11T09:03:06.968572,4.18
2025-02-11T09:03:11.496616,4.02
2025-02-11T09:03:16.022384,4.02
2025-02-11T09:03:20.547351,4.05
2025-02-11T09:03:25.072808,4.08
2025-02-11T09:03:29.598859,0.54
2025-02-11T09:03:34.123797,4.1
2025-02-11T09:03:38.651606,4.05
2025-02-11T09:03:43.177546,4.39
2025-02-11T09:03:47.702094,4.09
2025-02-11T09:03:52.227970,4.04
2025-02-11T09:03:56.754154,4.03
2025-02-11T09:04:01.280760,5.23
2025-02-11T09:04:05.806159,4.12
Timestamp,CPU Utilization (%),Num Cpus
Timestamp,CPU Utilization (%),Num Cpus
Timestamp,CPU Utilization (%),Num Cpus
2025-02-11T15:35:11.116749,0.02
2025-02-11T15:35:15.640836,0.25
2025-02-11T15:35:20.165236,0.01
2025-02-11T15:35:24.688722,0.28
