Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,51221,0,5,7.6531405923360305,2.052375999483047,133.50286900003994,112.48808106050252,35.56199358899343,0.0,5,7,8,9,13,19,51,66,87,99,130
OPTIONS,/api/auth/verify,51221,1,3,5.179085429354393,0.905840000086755,104.69264699986525,0.0,35.56199358899343,0.000694285421780001,3,5,6,7,10,13,21,52,79,94,100
OPTIONS,/api/exercise-production,51220,0,3,4.957960471651707,0.9106930001507862,100.9913179996147,0.0,35.56129930357165,0.0,3,5,6,7,10,13,20,50,77,94,100
POST,/api/exercise-production,51209,12,42,53.951012969302575,10.969024000587524,299.3185409995931,1140.73262512449,35.553662163932074,0.008331425061360012,42,46,54,65,93,110,160,180,240,280,300
OPTIONS,/api/user/login,51228,14,3,6.585273359766069,0.8094250006251968,124.45801700050652,0.0,35.566853586945896,0.009719995904920014,3,5,7,8,12,21,55,64,83,93,120
POST,/api/user/login,51228,6,5,8.069724298391126,0.7271219992617262,164.91403599957266,112.47491606152884,35.566853586945896,0.004165712530680006,5,7,9,10,14,20,53,65,90,110,160
DELETE,/api/user/logout,51207,2,4,7.123442277736123,1.6770700003689853,123.41248299981089,13.999453199757845,35.552273593088515,0.001388570843560002,4,6,8,9,13,18,51,64,82,96,120
OPTIONS,/api/user/logout,51208,0,3,5.958401540246176,0.9170909997919807,117.55887599974812,0.0,35.552967878510294,0.0,3,5,7,8,11,15,45,63,85,96,120
,Aggregated,409742,35,5,12.43376993908608,0.7271219992617262,299.3185409995931,172.44086278682684,284.47789729098116,0.024299989762300037,5,7,10,13,40,51,80,99,190,250,300
