Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,9807,1516,210.0,370.39421746970504,2.882690001570154,1208.0256740009645,95.07168349138371,6.808515432159934,1.0524838783679475,210,400,630,820,1000,1000,1100,1100,1200,1200,1200
OPTIONS,/api/auth/verify,9833,0,78,128.84921522485624,1.0576909990049899,935.4108600018662,0.0,6.826565947224292,0.0,78,100,140,180,370,510,640,750,920,940,940
OPTIONS,/api/exercise-production,9800,86,95,180.90961585611632,0.8398880017921329,1142.5527910032542,0.0,6.803655678104146,0.05970554982826087,95,160,220,280,510,710,920,1000,1100,1100,1100
POST,/api/exercise-production,9733,7512,1000.0,872.7323333735827,46.293696999782696,1198.9394929987611,260.367923559026,6.757140889284455,5.215210352440647,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200
OPTIONS,/api/user/login,17691,513,300.0,357.2365081221643,1.290544998482801,1156.4681430027122,0.0,12.28198700013678,0.3561505472313701,300,470,580,610,780,930,1000,1000,1100,1200,1200
POST,/api/user/login,17642,7801,850.0,656.5233898625303,3.2664340033079498,1167.6697420043638,62.73580092959982,12.24796872174626,5.41584876988678,860,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200
DELETE,/api/user/logout,9692,140,120.0,242.82096816837003,1.5115799978957511,1058.5360440018121,13.797771357820883,6.72867661552912,0.09719508111577352,120,240,370,470,670,810,980,1000,1100,1100,1100
OPTIONS,/api/user/logout,9706,520,260.0,347.5089605742814,0.8208430008380674,1147.0663630025228,0.0,6.738396123640698,0.3610103012871588,260,450,570,630,850,1000,1000,1100,1100,1100,1100
,Aggregated,93904,18088,260.0,413.13733136087495,0.8208430008380674,1208.0256740009645,50.12610751405691,65.19290640782569,12.557604480157938,260,530,770,990,1000,1000,1100,1100,1100,1200,1200
