Method,Name,Error,Occurrences
DELETE,/api/user/logout,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",140
OPTIONS,/api/user/login,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",513
POST,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",7512
GET,/api/auth/verify,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",1516
OPTIONS,/api/user/logout,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",520
POST,/api/user/login,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",7801
OPTIONS,/api/exercise-production,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=5001): Read timed out. (read timeout=1)""))",86
