Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47386,2,13,18.722993845845686,2.0462860011321027,158.95399399960297,112.46963238087199,32.91186815939621,0.0013890967019540034,13,19,24,28,41,53,70,83,120,140,160
OPTIONS,/api/auth/verify,47389,0,9,13.83635372065667,0.7612400004290976,143.18285999979707,0.0,32.913951804449134,0.0,9,14,18,21,31,41,58,72,110,130,140
OPTIONS,/api/exercise-production,47383,1,9,13.775367945441156,0.7456559997081058,160.82347500014293,0.0,32.90978451434327,0.0006945483509770017,9,14,19,21,31,41,56,70,100,130,160
POST,/api/exercise-production,47360,11,73,82.09936336997286,16.668528000082006,470.7668390001345,1140.7349873310811,32.8938099022708,0.007640031860747019,73,82,91,98,120,140,190,220,370,440,470
OPTIONS,/api/user/login,47406,17,9,13.650020813589661,0.7322480014408939,143.16313899871602,0.0,32.92575912641575,0.01180732196660903,9,14,18,21,30,42,57,70,100,120,140
POST,/api/user/login,47403,9,13,19.130134772030036,0.8228120004787343,159.84385399860912,112.45294601607493,32.923675481362814,0.006250935158793016,13,19,24,28,41,54,71,85,120,150,160
DELETE,/api/user/logout,47353,0,8,14.676463917850365,1.4469980014837347,178.38115499944251,14.0,32.88894806381396,0.0,8,14,19,23,36,48,65,77,110,160,180
OPTIONS,/api/user/logout,47355,3,7,12.302413672431072,0.7461300010618288,155.4614610013232,0.0,32.89033716051592,0.0020836450529310054,7,12,16,19,29,41,61,75,100,140,160
,Aggregated,379035,43,12,23.521091514122933,0.7322480014408939,470.7668390001345,172.40688590763386,263.2581342125679,0.029865579092011076,12,20,28,37,65,82,110,130,230,380,470
