Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47736,0,12,17.4240439223711,2.010654003242962,161.28803200263064,112.46606334841628,33.159253756454646,0.0,12,17,22,26,38,50,67,79,110,150,160
OPTIONS,/api/auth/verify,47740,0,9,12.81775143561074,0.7530309958383441,172.67169999831822,0.0,33.16203230964356,0.0,9,13,17,20,28,38,53,66,99,130,170
OPTIONS,/api/exercise-production,47732,0,8,12.800249072457229,0.724698998965323,159.67513700161362,0.0,33.156475203265735,0.0,8,13,17,20,29,39,54,66,100,150,160
POST,/api/exercise-production,47707,0,73,81.04583323200319,34.85716200520983,429.46491399925435,1141.0,33.139109245835044,0.0,73,82,91,98,120,140,170,200,300,380,430
OPTIONS,/api/user/login,47745,0,9,12.689090677994473,0.6691180024063215,141.8359369999962,0.0,33.165505501129694,0.0,9,13,16,19,28,38,54,66,94,130,140
POST,/api/user/login,47743,0,12,17.753155425895248,2.3316130027524196,152.70053000131156,112.46609974237062,33.16411622453524,0.0,12,17,22,26,38,50,66,78,120,140,150
DELETE,/api/user/logout,47704,0,7,13.411353305109548,1.4141990031930618,157.01341100066202,14.0,33.137025330943366,0.0,7,12,17,21,33,45,61,72,110,150,160
OPTIONS,/api/user/logout,47704,0,6,11.303867277304263,0.7562730024801567,153.71045299980324,0.0,33.137025330943366,0.0,6,11,14,17,27,40,58,71,99,130,150
,Aggregated,381811,0,11,22.402584224977662,0.6691180024063215,429.46491399925435,172.44053209572274,265.22054290275065,0.0,11,18,26,34,64,81,110,130,210,310,430
