cores,rts,tr,users,replica,util,mem
1.0,0.0,0.0,,1,0.0,0
1.0,0.0,0.0,0.0,1,0.0,0
1.0,0.09776361651409417,0.05216666666666667,1.0,1,0.0,0
1.0,0.06857638491801386,0.1287,2.0,1,0.0,0
1.0,0.05887783657706963,0.2788333333333334,4.0,1,0.0,0
1.0,0.055533488198287406,0.4979,6.0,1,0.0,0
1.0,0.05356766511267171,0.7472,7.0,1,0.0,0
1.0,0.05265798868973924,1.06575,9.0,1,0.0,0
1.0,0.05180447301831722,1.452380952380952,11.0,1,0.0,0
1.0,0.05088269628384566,1.8709166666666666,12.0,1,0.0,0
1.0,0.050267260998703385,2.3221851851851856,14.0,1,0.0,0
1.0,0.04962601535346189,2.8768499999999997,16.0,1,0.0,0
1.0,0.04949149834288081,3.4288030303030297,17.0,1,0.0,0
1.0,0.04995722651491296,4.049277777777777,19.0,1,0.0,0
1.0,0.04997429196705756,4.737461538461537,21.0,1,0.0,0
1.0,0.049833109551466304,5.458885714285715,22.0,1,0.0,0
1.0,0.051318367538422546,6.2474977777777765,24.0,1,0.0,0
1.0,0.05181534019681965,7.069052083333334,26.0,1,0.0,0
1.0,0.05146393492692145,7.957974509803922,27.0,1,0.0,0
1.0,0.05697351439892873,8.81191851851852,29.0,1,0.0,0
1.0,0.06957500977752885,9.633431578947368,31.0,1,0.0,0
1.0,0.0822354556112039,10.521946666666667,32.0,1,0.0,0
1.0,0.09699996457330172,11.44261746031746,34.0,1,0.0,0
1.0,0.11644879054199514,12.257181818181818,36.0,1,0.0,0
1.0,0.13380819200212274,13.10504347826087,37.0,1,0.13776698437233856,0
1.0,0.1519682430926762,14.006436111111109,39.0,2,0.1307992666666666,0
1.0,0.1784730576563755,14.865477333333331,41.0,2,0.2024312165651644,0
1.0,0.20455680526177022,15.650194871794872,42.0,2,0.2628729214621078,0
1.0,0.22388150511855084,16.64501481481481,44.0,3,0.25859613829272504,0
1.0,0.24364468209705278,17.781114285714285,46.0,3,0.3429838232928458,0
1.0,0.2585290572089542,18.88143448275862,47.0,3,0.41301424997802183,0
1.0,0.2713762724037165,20.03448275862069,49.0,4,0.40508884399954614,0
