Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,4064,0,2.041087998804869,3.245333968252668,2.041087998804869,87.95028299937258,110.6107283464567,34.09739700337683,0.0,2,2,3,3,4,6,9,31,61,88,88
OPTIONS,/api/auth/verify,4064,0,1,1.7431195078526842,0.8974900010798592,79.25230500040925,0.0,34.09739700337683,0.0,1,1,2,2,2,3,5,18,71,79,79
OPTIONS,/api/exercise-production,4064,0,1,1.7800988262874888,0.9024219998536864,69.5262350000121,0.0,34.09739700337683,0.0,1,1,2,2,2,3,6,24,52,70,70
POST,/api/exercise-production,4064,0,35,41.80322274408688,32.14063799896394,597.8162909996172,1141.0,34.09739700337683,0.0,35,36,37,37,41,54,87,270,580,600,600
OPTIONS,/api/user/login,4064,0,1,1.882326285932845,0.8360039992112434,77.01219000045967,0.0,34.09739700337683,0.0,1,1,2,2,3,4,6,23,44,77,77
POST,/api/user/login,4064,0,2.1783909996884177,3.5299577076763287,2.1783909996884177,84.04934499958472,110.6107283464567,34.09739700337683,0.0,2,3,3,3,4,6,11,33,72,84,84
DELETE,/api/user/logout,4064,0,2,2.7645269426669103,1.673596001637634,98.71677099908993,14.0,34.09739700337683,0.0,2,2,2,3,3,4,6,16,87,99,99
OPTIONS,/api/user/logout,4064,0,1,1.9413213159378133,0.905373000932741,98.17131199997675,0.0,34.09739700337683,0.0,1,1,2,2,2,3,5,9,88,98,98
,Aggregated,32512,0,2,7.336238412336713,0.8360039992112434,597.8162909996172,172.02768208661416,272.7791760270146,0.0,2,2,3,3,34,36,39,50,370,580,600
