Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,2486,0,2.0614469995052787,3.1173626444052402,2.0614469995052787,33.529961001477204,110.36363636363636,20.910987024486204,0.0,2,3,3,3,4,6,10,21,32,34,34
OPTIONS,/api/auth/verify,2486,0,1,1.6748144988113756,0.9033669994096272,29.04220200070995,0.0,20.910987024486204,0.0,1,1,2,2,2,3,6,16,26,29,29
OPTIONS,/api/exercise-production,2486,0,1,1.684025690642992,0.9110619994316949,34.98591499919712,0.0,20.910987024486204,0.0,1,1,2,2,2,3,6,17,28,35,35
POST,/api/exercise-production,2486,0,36,41.46510864764464,32.59809699920879,318.84707899916975,1141.0,20.910987024486204,0.0,36,38,39,39,44,60,81,220,320,320,320
OPTIONS,/api/user/login,2486,0,1,1.7965593036939422,0.8285940002679126,36.35108399976161,0.0,20.910987024486204,0.0,1,2,2,2,3,4,7,16,29,36,36
POST,/api/user/login,2486,0,3,3.5991152843737853,2.2201150004548253,52.64673899910122,110.36363636363636,20.910987024486204,0.0,3,3,3,4,4,6,15,29,43,53,53
DELETE,/api/user/logout,2486,0,2,2.6681146500667934,1.6676229988661362,79.88895000016782,14.0,20.910987024486204,0.0,2,2,3,3,3,5,6,14,79,80,80
OPTIONS,/api/user/logout,2486,0,1,1.6373119412923054,0.9175240011245478,57.3137500014127,0.0,20.910987024486204,0.0,1,1,2,2,2,3,5,6,37,57,57
,Aggregated,19888,0,2,7.205301582616396,0.8285940002679126,318.84707899916975,171.9659090909091,167.28789619588963,0.0,2,3,3,4,35,37,40,49,230,320,320
