Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,3283,0,2.032549000432482,3.0065652439760235,2.032549000432482,64.1268029994535,110.51720986902224,27.547245753960347,0.0,2,2,2,3,4,6,10,21,45,64,64
OPTIONS,/api/auth/verify,3283,0,1,1.5144122339325545,0.8969720001914538,83.58397699885245,0.0,27.547245753960347,0.0,1,1,1,1,2,2,5,16,41,84,84
OPTIONS,/api/exercise-production,3283,0,1,1.580702869643946,0.9049349991983036,82.46453199899406,0.0,27.547245753960347,0.0,1,1,1,1,2,2,6,19,45,82,82
POST,/api/exercise-production,3282,0,35,40.59559977147976,31.875888000286068,450.2835690000211,1141.0,27.538854878007268,0.0,35,36,36,37,42,55,85,220,430,450,450
OPTIONS,/api/user/login,3283,0,1,1.6493943801475186,0.8270409998658579,55.468316000769846,0.0,27.547245753960347,0.0,1,1,1,2,2,3,9,20,36,55,55
POST,/api/user/login,3283,0,2.1566640007222304,3.4525684124419955,2.1566640007222304,92.85770699898421,110.51720986902224,27.547245753960347,0.0,2,3,3,3,4,5,14,32,70,93,93
DELETE,/api/user/logout,3282,0,2,2.655746791596496,1.6554670000914484,90.15897199969913,14.0,27.538854878007268,0.0,2,2,2,2,3,4,6,15,89,90,90
OPTIONS,/api/user/logout,3282,0,1,1.670517857717925,0.9111269991990412,89.66112899906875,0.0,27.538854878007268,0.0,1,1,1,2,2,3,4,6,89,90,90
,Aggregated,26261,0,2,7.014779309932367,0.8270409998658579,450.2835690000211,171.97997029816077,220.35279340382354,0.0,2,2,3,3,33,35,39,49,310,440,450
