Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,114,0,3,2.9747429210928793,2.669581001100596,5.917954998949426,109.0,0.9570353447108985,0.0,3,3,3,3,3,4,5,6,6,6,6
OPTIONS,/api/auth/verify,114,0,1.1088629998994293,1.2065516052723724,1.1088629998994293,3.5056169999734266,0.0,0.9570353447108985,0.0,1,1,1,1,1,1,1,2,4,4,4
OPTIONS,/api/exercise-production,114,0,1.1131009996461216,1.2345305788888556,1.1131009996461216,2.2658050002064556,0.0,0.9570353447108985,0.0,1,1,1,1,1,1,2,2,2,2,2
POST,/api/exercise-production,114,0,38,38.9156646841704,37.03611200035084,48.71263499990164,1141.0,0.9570353447108985,0.0,38,39,39,39,40,42,46,47,49,49,49
OPTIONS,/api/user/login,114,0,1.0851709994312841,1.2851120525802049,1.0851709994312841,9.06163899890089,0.0,0.9570353447108985,0.0,1,1,1,1,1,1,2,2,9,9,9
POST,/api/user/login,114,0,3,3.455610105224319,2.880287000152748,24.605659998996998,109.0,0.9570353447108985,0.0,3,3,3,3,4,4,6,7,25,25,25
DELETE,/api/user/logout,114,0,2,2.180405114143612,1.9688410011440283,5.438719999801833,14.0,0.9570353447108985,0.0,2,2,2,2,2,3,4,4,5,5,5
OPTIONS,/api/user/logout,114,0,1.0863640000025043,1.1742173507962816,1.0863640000025043,3.0497959996864665,0.0,0.9570353447108985,0.0,1,1,1,1,1,1,1,1,3,3,3
,Aggregated,912,0,2,6.553354301521115,1.0851709994312841,48.71263499990164,171.625,7.656282757687188,0.0,2,3,3,3,38,39,40,40,49,49,49
