cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.0,0.0,,4,4,0.0,0
1.0,0.0,0.0,0.0,4,4,0.0,0
1.0,0.09893153788194349,0.05893333333333333,1.0,4,4,0.0,0
1.0,0.08579388276127374,0.1401,2.0,4,4,0.0,0
1.0,0.07901947883050733,0.2985888888888889,4.0,4,4,0.0,0
1.0,0.0680556835623568,0.5280166666666666,6.0,4,4,0.0,0
1.0,0.06307072076549307,0.7878666666666666,7.0,4,4,0.0,0
1.0,0.060113140201115495,1.0806444444444445,9.0,4,4,0.0,0
1.0,0.05786369989443404,1.406352380952381,12.0,4,4,0.0,0
1.0,0.055360162758197565,2.103733333333334,14.0,4,4,0.0,0
1.0,0.05474806706128981,2.613,16.0,4,4,0.0,0
1.0,0.054052723276462766,3.1569757575757573,17.0,4,4,0.0,0
1.0,0.053451419184926435,3.769733333333334,19.0,4,4,0.0,0
1.0,0.05321070975666435,4.451446153846154,21.0,4,4,0.0,0
1.0,0.0531826052896901,5.167757142857144,22.0,4,4,0.0,0
1.0,0.0530880314604938,5.8854533333333325,24.0,4,4,0.0,0
1.0,0.053049347171689895,6.772500000000001,26.0,4,4,0.0,0
1.0,0.05310850748195066,7.594917647058825,27.0,4,4,0.0,0
1.0,0.053105945267684876,8.587007407407407,29.0,4,4,0.0,0
1.0,0.05315160484207416,9.547591228070175,31.0,4,4,0.0,0
1.0,0.053276414329593354,10.576591666666667,32.0,4,4,0.0,0
1.0,0.05340412594680606,11.742047619047618,34.0,4,4,0.09650795979010038,0
1.0,0.053548115937886234,12.891518181818183,36.0,1,4,0.16043816634780023,0
1.0,0.05381105351974833,14.101256521739131,37.0,2,5,0.21258754439635313,0
1.0,0.05360168861376912,15.346445833333336,39.0,2,5,0.24832235967913316,0
1.0,0.055016625786613614,16.697408000000003,41.0,3,6,0.3299996598608206,0
1.0,0.05532904679374066,18.051776923076925,42.0,3,6,0.36055429759940455,0
1.0,0.05537180783246143,19.478893827160494,44.0,3,6,0.46405365485012745,0
1.0,0.05526108063617738,20.93897619047619,46.0,4,7,0.5187774716547646,0
1.0,0.05539336549004494,22.50414367816092,47.0,4,7,0.5958907150196056,0
1.0,0.0557070115375307,24.163042528735634,49.0,4,7,0.6464132386870444,0
1.0,0.054196334883064155,26.73698850574713,52.0,5,7,0.7539185326483644,0
1.0,0.05680217773163961,28.290850574712646,54.0,6,9,0.8602131765722425,0
1.0,0.05782366999797559,30.12340229885057,56.0,6,10,1.0163294586559752,0
1.0,0.05876838692705276,31.96551724137931,57.0,7,10,1.0358969239042384,0
1.0,0.060149801599913164,33.62068965517241,59.0,7,10,1.0147214269907407,0
1.0,0.06068568093233355,35.13793103448276,61.0,7,7,1.170615145254127,0
1.0,0.06131989831071972,36.62068965517241,62.0,7,7,1.3147785939096794,0
1.0,0.06140788086217284,38.206896551724135,64.0,7,7,1.423830892953215,0
1.0,0.061714803166430326,39.44827586206897,66.0,8,8,1.50240826892384,0
1.0,0.0627839392252395,41.06896551724138,67.0,8,8,1.6064047486253092,0
1.0,0.06305633480893637,42.6551724137931,69.0,8,8,1.7004779561058851,0
1.0,0.06335943577719591,44.241379310344826,71.0,9,9,1.7771462203763577,0
1.0,0.06398941324961141,45.93103448275862,72.0,9,9,1.9172164074353233,0
1.0,0.06452168337418034,47.241379310344826,74.0,9,9,1.9907052684256983,0
1.0,0.0649403500129107,48.96551724137931,76.0,10,10,2.1499879294502793,0
1.0,0.06532310310313114,50.3448275862069,79.0,11,11,2.2343538825743825,0
1.0,0.06621533751118219,53.51724137931034,81.0,12,12,2.435287492867893,0
1.0,0.0669853079381711,54.793103448275865,82.0,12,12,2.5609226631896,0
1.0,0.06793981772386717,56.3448275862069,84.0,13,12,2.4955543117937844,0
1.0,0.06852401121834316,58.03448275862069,86.0,13,13,2.6957796188537504,0
1.0,0.06884722005217567,59.44827586206897,87.0,13,13,2.770577482228981,0
1.0,0.06932962387307813,61.0,89.0,12,13,2.8092047465294603,0
1.0,0.06950635961467974,62.37931034482759,91.0,13,13,2.9262815457098634,0
1.0,0.06979292819697411,64.03448275862068,92.0,13,13,2.9488810442178526,0
1.0,0.07028452429714131,65.55172413793103,94.0,13,13,2.9905254598257662,0
1.0,0.07089594820879912,67.0,96.0,13,13,3.027965468899574,0
1.0,0.07133951766524425,68.41379310344827,97.0,13,13,3.113123846941518,0
1.0,0.0716596270209967,69.82758620689656,100.0,13,13,3.116515949872922,0
