Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,52280,2,4,5.558293086922689,2.110005996655673,108.9715959969908,112.3954858454476,36.302621033496436,0.0013887766271421743,4,5,6,7,10,12,16,21,83,95,110
OPTIONS,/api/auth/verify,52281,1,3,3.8803613390696134,0.9127029916271567,90.35083398339339,0.0,36.30331542181001,0.0006943883135710872,3,4,5,6,8,10,13,16,73,88,90
OPTIONS,/api/exercise-production,52278,1,3,3.846636170645165,0.9218030027113855,88.17249600542709,0.0,36.3012322568693,0.0006943883135710872,3,4,5,6,8,10,13,16,69,86,88
POST,/api/exercise-production,52267,10,40,43.51042788947505,27.823900018120185,386.71855098800734,1140.7816978208048,36.29359398542002,0.006943883135710872,40,42,43,45,49,57,78,95,290,360,390
OPTIONS,/api/user/login,52284,15,3,4.0625395221355705,0.8433519979007542,88.39222398819402,0.0,36.30539858675073,0.010415824703566308,3,4,5,6,8,10,14,18,71,85,88
POST,/api/user/login,52284,1,4,5.921054166427114,2.254731982247904,102.60862598079257,112.39757860913473,36.30539858675073,0.0006943883135710872,4,6,7,8,10,13,17,23,84,95,100
DELETE,/api/user/logout,52266,0,4,5.125014032583319,1.7040420207194984,91.04323099018075,14.0,36.29289959710644,0.0,4,5,6,7,10,12,16,21,77,87,91
OPTIONS,/api/user/logout,52267,1,3,4.150625928330525,0.9308400040026754,93.60013899276964,0.0,36.29359398542002,0.0006943883135710872,3,4,5,6,8,10,14,17,73,86,94
,Aggregated,418207,31,4,9.50605244583744,0.8433519979007542,386.71855098800734,172.4255978498686,290.3980534536237,0.021526037720703703,4,6,8,9,38,42,47,53,110,290,390
