Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/verify,47228,4,13,18.631073586447222,2.0778379985131323,408.86497399696964,112.46637587871602,32.78683386004935,0.00277689793004568,13,18,23,27,39,52,71,87,180,410,410
OPTIONS,/api/auth/verify,47234,0,10,13.680476250205398,0.7544469990534708,298.3063290012069,0.0,32.79099920694441,0.0,10,14,18,20,29,39,56,73,120,280,300
OPTIONS,/api/exercise-production,47223,1,9,13.563807094033088,0.7278960001713131,294.4737299985718,0.0,32.78336273763679,0.00069422448251142,9,14,18,21,29,39,56,73,110,280,290
POST,/api/exercise-production,47194,77,74,85.70429839752428,15.741276998596732,1030.3055670010508,1139.1383862355385,32.76323022764396,0.05345528515337934,74,83,92,100,120,150,200,240,1000,1000,1000
OPTIONS,/api/user/login,47244,11,9,13.559439738860833,0.7246149980346672,263.1536020016938,0.0,32.79794145176953,0.007636469307625621,9,14,17,20,29,40,57,71,110,200,260
POST,/api/user/login,47242,3,13,18.967041300944658,1.3170179990993347,492.81142199833994,112.46884128529697,32.79655300280451,0.0020826734475342602,13,19,24,27,39,51,70,87,160,290,490
DELETE,/api/user/logout,47189,10,8,14.606137475069854,0.8492710003338289,304.9101590004284,13.997033206891437,32.7597591052314,0.0069422448251142,8,14,19,23,35,47,65,77,110,190,300
OPTIONS,/api/user/logout,47191,10,7,12.330903067599273,0.763055999414064,399.2036059971724,0.0,32.76114755419643,0.0069422448251142,7,12,16,19,28,40,63,76,110,390,400
,Aggregated,377745,116,12,23.87627654543016,0.7246149980346672,1030.3055670010508,172.19504692318893,262.23982714627635,0.08053003997132473,12,19,27,35,66,83,110,140,280,1000,1000
